1,Barbeque Area,Car Park,Covered car park,Covered Linkways,Perimeter Fencing,Gymnasium room,Landscaped Garden,Multi-purpose hall,Pool Deck,24 hours security,Spa pool,Swimming pool,Wading pool,Aeroyoga Room,
2,Barbeque Area,Car Park,Children's Playground,Gymnasium room,Landscaped Garden,Multi-purpose hall,24 hours security,Swimming pool,,,,,,,
3,Basketball court,Barbeque Area,Cafe,Covered car park,Children's Playground,Function room,Game room,Gymnasium room,Jacuzzi,Jogging track,Landscaped Garden,Lounge,Pool Deck,Playground,Reading Room
4,Basketball court,Barbeque Area,Children's Playground,Perimeter Fencing,Gymnasium room,Jacuzzi,Landscaped Garden,Nursery,Playground,Sauna,24 hours security,Squash court,Swimming pool,Wading pool,
5,Badminton hall,Basketball court,Covered car park,Gymnasium room,Karaoke,Lap pool,Landscaped Garden,Lounge,Pool Deck,Playground,Reflexology Path,24 hours security,Squash court,Swimming pool,Tennis courts
6,Business Centre,Covered car park,Children's Playground,Drop Off Point,Perimeter Fencing,Game room,Gymnasium room,Jacuzzi,Landscaped Garden,Lift lobby,Main entrance,Multi-purpose hall,Pavillion,Reading Room,24 hours security
7,Covered car park,Game room,Gymnasium room,Lap pool,Landscaped Garden,Meeting room,Multi-purpose hall,Playground,Sauna,24 hours security,Swimming pool,Wading pool,,,
8,Cafe,Car Park,Gymnasium room,Landscaped Garden,Main entrance,Sky Lounge,Swimming pool,,,,,,,,
9,Cafe,Car Park,Gymnasium room,Landscaped Garden,Main entrance,Sky Lounge,Swimming pool,,,,,,,,
10,Barbeque Area,Cafe,Covered car park,Perimeter Fencing,Reflexology Path,Sauna,24 hours security,Sky Lounge,Spa pool,Squash court,Swimming pool,Wading pool,,,
11,Badminton hall,Barbeque Area,Children's Playground,Function room,Game room,Gymnasium room,Jacuzzi,Landscaped Garden,Lounge,Multi-purpose hall,Pool Deck,Picnic Area,Playground,Reflexology Path,
12,Children's Playground,Drop Off Point,Perimeter Fencing,Gymnasium room,Lap pool,Landscaped Garden,Main entrance,Playground,24 hours security,Swimming pool,,,,,
13,24 hours security,,,,,,,,,,,,,,
14,Badminton hall,Car Park,Clubhouse,Perimeter Fencing,Gymnasium room,Jacuzzi,Recreation Lake,Sauna,24 hours security,Swimming pool,Wading pool,,,,
15,Barbeque Area,Business Centre,Covered car park,Perimeter Fencing,Jacuzzi,Jogging track,Multi-purpose hall,Pool Deck,Recreation Room,Reflexology Path,24 hours security,Steam bath,Swimming pool,,
16,24 hours security,,,,,,,,,,,,,,
17,Car Park,,,,,,,,,,,,,,
18,Barbeque Area,Cafe,Car Park,Children's Playground,Fitness corner,Gymnasium room,Lap pool,Launderette,Multi-purpose hall,Playground,Reading Room,24 hours security,Surau,,
19,24 hours security,Jogging track,Surau,Swimming pool,Basement car park,,,,,,,,,,
20,Basement car park,Drop Off Point,Perimeter Fencing,Lift lobby,Main entrance,Multi-purpose hall,Playground,24 hours security,Swimming pool,,,,,,
21,Aircon Facilities,Cafe,Car Park,Eateries,Main entrance,Surau,,,,,,,,,
22,Barbeque Area,Car Park,Covered car park,Perimeter Fencing,Gymnasium room,Landscaped Garden,Multi-purpose hall,Nursery,Playground,,,,,,
23,Perimeter Fencing,Library,Main entrance,Sauna,24 hours security,Spa pool,Swimming pool,,,,,,,,
24,Amphitheatre,Basketball court,Barbeque Area,Business Centre,Children's Playground,Perimeter Fencing,Gymnasium room,Jogging track,Multi-purpose hall,Picnic Area,,,,,
25,Amphitheatre,Car Park,Jogging track,Playground,,,,,,,,,,,
26,Covered car park,Children's Playground,Clubhouse,Game room,Gymnasium room,Lounge,Multi-purpose hall,Pool Deck,Playground,Sauna,24 hours security,Swimming pool,,,
27,Badminton hall,Covered car park,Gymnasium room,Jacuzzi,Jogging track,Lap pool,Landscaped Garden,Multi-purpose hall,Reflexology Path,Sauna,24 hours security,Swimming pool,,,
28,Basketball court,Barbeque Area,Business Centre,Covered car park,Perimeter Fencing,Gymnasium room,Jacuzzi,Lounge,Main entrance,Meeting room,24 hours security,Swimming pool,,,
29,Basement car park,Business Centre,Drop Off Point,Perimeter Fencing,Function room,Game room,Gymnasium room,Jacuzzi,Lift lobby,Lounge,Main entrance,Multi-purpose hall,Sauna,24 hours security,
30,24 hours security,,,,,,,,,,,,,,
